Episode,Who said it:,Who was it said to:,Text:
1,Vi,Mylo,We're almost there.
1,Mylo,Vi,"Aw, man."
1,Vi,Jinx,"Hey, Powder."
1,Vi,Jinx,Come take a look.
1,Jinx,Vi,Whoa.
1,Vi,Jinx,"It's nice getting above it all, huh?"
1,Jinx,Vi,"One day, I'm gonna ride in one of those things."
1,Mylo,Vi,"And one day, I'm gonna shoot one of 'em down."
1,Mylo,Vi,"Vi, are, are you sure about this?"
1,Claggor,Vi,"Look, if we get caught, we're..."
1,Vi,Claggor,We're not gonna get caught.
1,Vi,Claggor,We'll be in and out before anyone notices.
1,Vi,Mylo,"All right, everybody, follow me. Just don't look down."
1,Claggor,Vi,Couldn't we have at least just walked there?
1,Vi,Mylo,Gotta stay out of sight for this one.
1,,,Called it.
1,,,"This is on you, Vi."
1,Claggor,Vi,I'll get her.
1,Vi,Claggor,No.
1,Vi,Jinx,"Powder, look at me."
1,Vi,Jinx,What did I tell you?
1,Jinx,Vi,That...
1,Jinx,Vi,...I'm ready.
1,Vi,Jinx,That's right! So?
1,Jinx,Vi,Phew!
1,Jinx,Vi,Thanks.
1,Claggor,Vi,What if Vander finds out we're all the way up here?
1,Vi,Claggor,Look around you.
1,Vi,Claggor,You think anyone topside's going hungry?
1,Vi,Claggor,"Besides, this is exactly the sort of job Vander would've pulled when he was our age."
1,Vi,Claggor,I'm going. Are you with me or not?
1,Claggor,Vi,Vander's gonna kill us.
1,Vi,Claggor,"Yeah, only if we screw up."
1,Vi,Claggor,So don't screw up.
1,Vi,Mylo,All clear.
1,,,Who locks their balcony?
1,,,Hmm.
1,,,Whew.
1,Claggor,Vi,There's tons of enforcers down there.
1,Vi,Claggor,Means we're in the right place.
1,Vi,Claggor,You gonna get that door open any time soon?
1,Mylo,Vi,Working on it.
1,,,"Seeing as I'm the only one who knows how to pick locks,"
1,,,I suggest...
1,,,Animals.
1,Mylo,Claggor,"You know, Claggor, for once you're right."
1,Mylo,Claggor,We are definitely not supposed to be here.
1,,,Hmm.
1,Vi,,Must be an inventor.
1,,,Huh.
1,Jinx,Vi,"Whoa, I think this is a real Valdiani."
1,Mylo,Jinx,"Oh, yeah? What about this?"
1,Jinx,Mylo,That's a nose hair trimmer.
1,Vi,Jinx,"Keep an eye out for anything that looks valuable, Powder."
1,Vi,Jinx,Before Mylo fills the bag with junk.
1,,,Uh... guys?
1,,,"Wait, Vi, how the hell did we find this place?"
1,Vi,Claggor,It was a tip from Little Man.
1,,,Little Man?
1,Vi,Claggor,Just leave it.
1,,,Come on.
1,,,How can anyone have so much stuff?
1,,,"Simple, just get born lucky."
1,Jinx,,Woo-hoo!
1,Jinx,,Mm.
1,Jinx,,Huh.
1,Jinx,,Whoa.
1,Vi,Mylo,Mylo.
1,Vi,Jinx,"Powder, we gotta go."
1,,,Hello?
1,,,Is someone in there?
1,Vi,Jinx,Come on.
1,Vi,Mylo,We'll be fine. Just get back on the roof.
1,Vi,Jinx,Hold on!
1,,,Whoa! Look out!
1,,,Watch out!
1,,,Hey.
1,Vi,,Shit.
1,,,Stop right there!
1,,,Get them off!
1,Vi,Jinx,Faster!
1,,,Hey! Hey!
1,Vi,Jinx,Look out!
1,,,Down there!
